date,mode,system,trips
2022-08-24,bus_rkl,bus,159155
2022-08-25,bus_rkl,bus,157386
2022-08-26,bus_rkl,bus,155734
2022-08-27,bus_rkl,bus,104078
2022-08-28,bus_rkl,bus,94974
2022-08-29,bus_rkl,bus,152677
2022-08-30,bus_rkl,bus,162623
2022-08-31,bus_rkl,bus,108145
2022-09-01,bus_rkl,bus,156342
2022-09-02,bus_rkl,bus,154336
2022-09-03,bus_rkl,bus,104847
2022-09-04,bus_rkl,bus,95697
2022-09-05,bus_rkl,bus,148134
2022-09-06,bus_rkl,bus,151413
2022-09-07,bus_rkl,bus,156190
2022-09-08,bus_rkl,bus,154151
2022-09-09,bus_rkl,bus,147284
2022-09-10,bus_rkl,bus,108422
2022-09-11,bus_rkl,bus,97127
2022-09-12,bus_rkl,bus,161406
2022-09-13,bus_rkl,bus,164234
2022-09-14,bus_rkl,bus,163093
2022-09-15,bus_rkl,bus,161704
2022-09-16,bus_rkl,bus,97927
2022-09-17,bus_rkl,bus,98618
2022-09-18,bus_rkl,bus,92421
2022-09-19,bus_rkl,bus,157155
2022-09-20,bus_rkl,bus,164167
2022-09-21,bus_rkl,bus,165383
2022-09-22,bus_rkl,bus,157157
2022-09-23,bus_rkl,bus,162999
2022-09-24,bus_rkl,bus,111449
2022-09-25,bus_rkl,bus,98984
2022-09-26,bus_rkl,bus,157759
2022-09-27,bus_rkl,bus,161096
2022-09-28,bus_rkl,bus,159663
2022-09-29,bus_rkl,bus,159477
2022-09-30,bus_rkl,bus,154976
2022-10-01,bus_rkl,bus,110411
2022-10-02,bus_rkl,bus,104129
2022-10-03,bus_rkl,bus,160316
2022-10-04,bus_rkl,bus,162678
2022-10-05,bus_rkl,bus,165891
2022-10-06,bus_rkl,bus,163242
2022-10-07,bus_rkl,bus,157520
2022-10-08,bus_rkl,bus,108749
2022-10-09,bus_rkl,bus,104833
2022-10-10,bus_rkl,bus,92558
2022-10-11,bus_rkl,bus,159211
2022-10-12,bus_rkl,bus,157163
2022-10-13,bus_rkl,bus,164469
2022-10-14,bus_rkl,bus,161509
2022-10-15,bus_rkl,bus,108297
2022-10-16,bus_rkl,bus,104336
2022-10-17,bus_rkl,bus,166737
2022-10-18,bus_rkl,bus,169874
2022-10-19,bus_rkl,bus,173014
2022-10-20,bus_rkl,bus,170666
2022-10-21,bus_rkl,bus,165813
2022-10-22,bus_rkl,bus,121614
2022-10-23,bus_rkl,bus,125646
2022-10-24,bus_rkl,bus,92440
2022-10-25,bus_rkl,bus,139610
2022-10-26,bus_rkl,bus,144000
2022-10-27,bus_rkl,bus,154173
2022-10-28,bus_rkl,bus,153897
2022-10-29,bus_rkl,bus,106514
2022-10-30,bus_rkl,bus,96044
2022-10-31,bus_rkl,bus,156866
2022-11-01,bus_rkl,bus,167117
2022-11-02,bus_rkl,bus,165692
2022-11-03,bus_rkl,bus,165775
2022-11-04,bus_rkl,bus,162071
2022-11-05,bus_rkl,bus,113270
2022-11-06,bus_rkl,bus,101983
2022-11-07,bus_rkl,bus,166136
2022-11-08,bus_rkl,bus,181619
2022-11-09,bus_rkl,bus,198386
2022-11-10,bus_rkl,bus,182425
2022-11-11,bus_rkl,bus,177750
2022-11-12,bus_rkl,bus,128544
2022-11-13,bus_rkl,bus,117756
2022-11-14,bus_rkl,bus,156327
2022-11-15,bus_rkl,bus,161492
2022-11-16,bus_rkl,bus,165820
2022-11-17,bus_rkl,bus,148950
2022-11-18,bus_rkl,bus,88341
2022-11-19,bus_rkl,bus,78819
2022-11-20,bus_rkl,bus,85823
2022-11-21,bus_rkl,bus,141794
2022-11-22,bus_rkl,bus,164226
2022-11-23,bus_rkl,bus,168849
2022-11-24,bus_rkl,bus,165408
2022-11-25,bus_rkl,bus,163286
2022-11-26,bus_rkl,bus,110856
2022-11-27,bus_rkl,bus,99087
2022-11-28,bus_rkl,bus,92051
2022-11-29,bus_rkl,bus,162780
2022-11-30,bus_rkl,bus,164356
2022-12-01,bus_rkl,bus,167838
2022-12-02,bus_rkl,bus,164212
2022-12-03,bus_rkl,bus,117360
2022-12-04,bus_rkl,bus,106044
2022-12-05,bus_rkl,bus,159807
2022-12-06,bus_rkl,bus,162110
2022-12-07,bus_rkl,bus,163330
2022-12-08,bus_rkl,bus,161106
2022-12-09,bus_rkl,bus,158311
2022-12-10,bus_rkl,bus,109897
2022-12-11,bus_rkl,bus,106768
2022-12-12,bus_rkl,bus,129003
2022-12-13,bus_rkl,bus,157266
2022-12-14,bus_rkl,bus,157802
2022-12-15,bus_rkl,bus,154653
2022-12-16,bus_rkl,bus,151766
2022-12-17,bus_rkl,bus,116112
2022-12-18,bus_rkl,bus,107543
2022-12-19,bus_rkl,bus,149185
2022-12-20,bus_rkl,bus,153212
2022-12-21,bus_rkl,bus,150245
2022-12-22,bus_rkl,bus,146094
2022-12-23,bus_rkl,bus,144021
2022-12-24,bus_rkl,bus,111275
2022-12-25,bus_rkl,bus,109099
2022-12-26,bus_rkl,bus,92158
2022-12-27,bus_rkl,bus,138600
2022-12-28,bus_rkl,bus,137885
2022-12-29,bus_rkl,bus,135248
2022-12-30,bus_rkl,bus,136258
2022-12-31,bus_rkl,bus,112171
2023-01-01,bus_rkl,bus,109680
2023-01-02,bus_rkl,bus,89423
2023-01-03,bus_rkl,bus,161321
2023-01-04,bus_rkl,bus,164569
2023-01-05,bus_rkl,bus,163969
2023-01-06,bus_rkl,bus,160521
2023-01-07,bus_rkl,bus,110805
2023-01-08,bus_rkl,bus,102237
2023-01-09,bus_rkl,bus,166954
2023-01-10,bus_rkl,bus,168101
2023-01-11,bus_rkl,bus,172765
2023-01-12,bus_rkl,bus,171179
2023-01-13,bus_rkl,bus,167799
2023-01-14,bus_rkl,bus,112705
2023-01-15,bus_rkl,bus,103090
2023-01-16,bus_rkl,bus,165686
2023-01-17,bus_rkl,bus,173241
2023-01-18,bus_rkl,bus,173751
2023-01-19,bus_rkl,bus,168036
2023-01-20,bus_rkl,bus,144453
2023-01-21,bus_rkl,bus,96859
2023-01-22,bus_rkl,bus,104505
2023-01-23,bus_rkl,bus,97440
2023-01-24,bus_rkl,bus,84648
2023-01-25,bus_rkl,bus,133270
2023-01-26,bus_rkl,bus,137510
2023-01-27,bus_rkl,bus,153717
2023-01-28,bus_rkl,bus,109015
2023-01-29,bus_rkl,bus,106072
2023-01-30,bus_rkl,bus,172258
2023-01-31,bus_rkl,bus,178052
2023-02-01,bus_rkl,bus,139181
2023-02-02,bus_rkl,bus,179393
2023-02-03,bus_rkl,bus,176499
2023-02-04,bus_rkl,bus,121018
2023-02-05,bus_rkl,bus,120867
2023-02-06,bus_rkl,bus,94862
2023-02-07,bus_rkl,bus,184988
2023-02-08,bus_rkl,bus,183575
2023-02-09,bus_rkl,bus,178858
2023-02-10,bus_rkl,bus,178998
2023-02-11,bus_rkl,bus,121305
2023-02-12,bus_rkl,bus,116140
2023-02-13,bus_rkl,bus,182782
2023-02-14,bus_rkl,bus,183068
2023-02-15,bus_rkl,bus,186724
2023-02-16,bus_rkl,bus,184816
2023-02-17,bus_rkl,bus,179370
2023-02-18,bus_rkl,bus,121034
2023-02-19,bus_rkl,bus,111871
2023-02-20,bus_rkl,bus,177306
2023-02-21,bus_rkl,bus,181127
2023-02-22,bus_rkl,bus,182390
2023-02-23,bus_rkl,bus,176518
2023-02-24,bus_rkl,bus,173248
2023-02-25,bus_rkl,bus,126652
2023-02-26,bus_rkl,bus,114027
2023-02-27,bus_rkl,bus,172898
2023-02-28,bus_rkl,bus,180671
2023-03-01,bus_rkl,bus,180397
2023-03-02,bus_rkl,bus,180101
2023-03-03,bus_rkl,bus,177867
2023-03-04,bus_rkl,bus,136167
2023-03-05,bus_rkl,bus,129317
2023-03-06,bus_rkl,bus,186645
2023-03-07,bus_rkl,bus,190344
2023-03-08,bus_rkl,bus,193562
2023-03-09,bus_rkl,bus,190595
2023-03-10,bus_rkl,bus,195986
2023-03-11,bus_rkl,bus,148973
2023-03-12,bus_rkl,bus,148461
2023-03-13,bus_rkl,bus,192761
2023-03-14,bus_rkl,bus,207048
2023-03-15,bus_rkl,bus,216954
2023-03-16,bus_rkl,bus,212755
2023-03-17,bus_rkl,bus,211913
2023-03-18,bus_rkl,bus,160273
2023-03-19,bus_rkl,bus,150784
2023-03-20,bus_rkl,bus,213501
2023-03-21,bus_rkl,bus,219439
2023-03-22,bus_rkl,bus,220313
2023-03-23,bus_rkl,bus,200430
2023-03-24,bus_rkl,bus,202844
2023-03-25,bus_rkl,bus,134825
2023-03-26,bus_rkl,bus,128386
2023-03-27,bus_rkl,bus,201274
2023-03-28,bus_rkl,bus,204655
2023-03-29,bus_rkl,bus,206476
2023-03-30,bus_rkl,bus,205175
2023-03-31,bus_rkl,bus,201358
2023-04-01,bus_rkl,bus,136300
2023-04-02,bus_rkl,bus,126548
2023-04-03,bus_rkl,bus,204594
2023-04-04,bus_rkl,bus,208187
2023-04-05,bus_rkl,bus,207509
2023-04-06,bus_rkl,bus,212113
2023-04-07,bus_rkl,bus,203161
2023-04-08,bus_rkl,bus,138993
2023-04-09,bus_rkl,bus,144525
2023-04-10,bus_rkl,bus,208812
2023-04-11,bus_rkl,bus,210281
2023-04-12,bus_rkl,bus,209875
2023-04-13,bus_rkl,bus,205868
2023-04-14,bus_rkl,bus,203050
2023-04-15,bus_rkl,bus,144184
2023-04-16,bus_rkl,bus,138990
2023-04-17,bus_rkl,bus,200866
2023-04-18,bus_rkl,bus,201134
2023-04-19,bus_rkl,bus,192783
2023-04-20,bus_rkl,bus,171378
2023-04-21,bus_rkl,bus,120669
2023-04-22,bus_rkl,bus,116146
2023-04-23,bus_rkl,bus,134364
2023-04-24,bus_rkl,bus,111285
2023-04-25,bus_rkl,bus,143253
2023-04-26,bus_rkl,bus,156731
2023-04-27,bus_rkl,bus,160170
2023-04-28,bus_rkl,bus,161522
2023-04-29,bus_rkl,bus,127721
2023-04-30,bus_rkl,bus,124780
2023-05-01,bus_rkl,bus,123148
2023-05-02,bus_rkl,bus,201811
2023-05-03,bus_rkl,bus,199927
2023-05-04,bus_rkl,bus,125864
2023-05-05,bus_rkl,bus,190776
2023-05-06,bus_rkl,bus,138148
2023-05-07,bus_rkl,bus,135767
2023-05-08,bus_rkl,bus,203789
2023-05-09,bus_rkl,bus,202860
2023-05-10,bus_rkl,bus,209184
2023-05-11,bus_rkl,bus,205245
2023-05-12,bus_rkl,bus,197076
2023-05-13,bus_rkl,bus,139298
